country,clicks,impressions,ctr,position,date,flag
usa,185,11397,0.016232341844345,38.12143546547337,2022-01-31,🇺🇸
ind,157,6777,0.0231665928877084,33.00044267374945,2022-01-31,🇮🇳
deu,69,1538,0.0448634590377113,20.85045513654096,2022-01-31,🇩🇪
gbr,64,2414,0.0265120132560066,35.425849212924604,2022-01-31,🇬🇧
fra,58,1260,0.046031746031746,29.20634920634921,2022-01-31,🇫🇷
esp,30,796,0.0376884422110552,34.017587939698494,2022-01-31,🇪🇸
can,28,978,0.0286298568507157,39.171779141104295,2022-01-31,🇨🇦
tur,26,851,0.0305522914218566,43.508813160987074,2022-01-31,🇹🇷
ita,23,713,0.032258064516129,31.9312762973352,2022-01-31,🇮🇹
nld,23,639,0.0359937402190923,26.672926447574334,2022-01-31,🇳🇱
idn,19,1960,0.0096938775510204,61.31887755102041,2022-01-31,🇮🇩
pak,18,686,0.0262390670553935,48.45043731778426,2022-01-31,🇵🇰
pol,18,667,0.0269865067466266,34.604197901049474,2022-01-31,🇵🇱
rus,18,1690,0.0106508875739644,50.21775147928994,2022-01-31,🇷🇺
grc,17,216,0.0787037037037037,23.421296296296298,2022-01-31,🇬🇷
isr,15,321,0.0467289719626168,21.669781931464176,2022-01-31,🇮🇱
ukr,14,579,0.0241796200345423,43.44732297063904,2022-01-31,🇺🇦
mys,12,512,0.0234375,55.6015625,2022-01-31,🇲🇾
aus,11,535,0.0205607476635514,35.87102803738318,2022-01-31,🇦🇺
bra,11,2320,0.0047413793103448,50.79008620689656,2022-01-31,🇧🇷
aut,9,181,0.0497237569060773,28.176795580110497,2022-01-31,🇦🇹
mex,9,658,0.0136778115501519,49.22188449848024,2022-01-31,🇲🇽
phl,9,942,0.0095541401273885,53.31104033970276,2022-01-31,🇵🇭
swe,9,295,0.0305084745762711,30.91864406779661,2022-01-31,🇸🇪
vnm,9,1831,0.0049153468050245,66.60567995630802,2022-01-31,🇻🇳
jpn,8,548,0.0145985401459854,38.67153284671533,2022-01-31,🇯🇵
prt,8,180,0.0444444444444444,30.522222222222226,2022-01-31,🇵🇹
sau,8,230,0.0347826086956521,39.21304347826087,2022-01-31,🇸🇦
sgp,8,421,0.0190023752969121,26.44893111638955,2022-01-31,🇸🇬
twn,8,550,0.0145454545454545,44.87636363636364,2022-01-31,🇹🇼
arg,7,752,0.0093085106382978,55.33643617021277,2022-01-31,🇦🇷
irl,7,118,0.059322033898305,35.71186440677966,2022-01-31,🇮🇪
zaf,7,225,0.0311111111111111,40.92888888888889,2022-01-31,🇿🇦
bel,6,206,0.029126213592233,23.694174757281555,2022-01-31,🇧🇪
bgd,6,499,0.0120240480961923,51.016032064128254,2022-01-31,🇧🇩
che,6,204,0.0294117647058823,29.916666666666668,2022-01-31,🇨🇭
tha,6,989,0.006066734074823,65.47724974721942,2022-01-31,🇹🇭
chl,5,206,0.0242718446601941,43.14563106796116,2022-01-31,🇨🇱
chn,5,150,0.0333333333333333,17.733333333333334,2022-01-31,🇨🇳
cze,5,167,0.029940119760479,37.31137724550898,2022-01-31,🇨🇿
irn,5,424,0.0117924528301886,34.15094339622642,2022-01-31,🇮🇷
kor,5,764,0.006544502617801,45.59424083769633,2022-01-31,🇰🇷
lva,5,58,0.0862068965517241,35.724137931034484,2022-01-31,🇱🇻
mar,5,366,0.0136612021857923,51.57650273224044,2022-01-31,🇲🇦
nor,5,145,0.0344827586206896,27.22068965517241,2022-01-31,🇳🇴
arm,4,73,0.0547945205479452,44.73972602739726,2022-01-31,🇦🇲
col,4,463,0.0086393088552915,52.645788336933045,2022-01-31,🇨🇴
hkg,4,251,0.0159362549800796,28.64143426294821,2022-01-31,🇭🇰
nga,4,121,0.0330578512396694,53.67768595041322,2022-01-31,🇳🇬
rou,4,296,0.0135135135135135,38.50675675675676,2022-01-31,🇷🇴
bgr,3,149,0.0201342281879194,42.95973154362416,2022-01-31,🇧🇬
blr,3,155,0.0193548387096774,44.270967741935486,2022-01-31,🇧🇾
dnk,3,151,0.0198675496688741,27.0,2022-01-31,🇩🇰
fin,3,130,0.023076923076923,23.984615384615385,2022-01-31,🇫🇮
hrv,3,88,0.034090909090909,29.03409090909091,2022-01-31,🇭🇷
kaz,3,136,0.0220588235294117,53.33088235294117,2022-01-31,🇰🇿
pse,3,101,0.0297029702970297,52.613861386138616,2022-01-31,🇵🇸
tun,3,117,0.0256410256410256,51.83760683760684,2022-01-31,🇹🇳
are,2,182,0.0109890109890109,49.06043956043956,2022-01-31,🇦🇪
dma,2,15,0.1333333333333333,19.6,2022-01-31,🇩🇲
ecu,2,285,0.0070175438596491,58.42105263157895,2022-01-31,🇪🇨
egy,2,359,0.0055710306406685,53.55153203342618,2022-01-31,🇪🇬
jor,2,122,0.0163934426229508,44.0,2022-01-31,🇯🇴
lka,2,103,0.0194174757281553,53.83495145631068,2022-01-31,🇱🇰
mda,2,40,0.05,52.925,2022-01-31,🇲🇩
mng,2,36,0.0555555555555555,56.083333333333336,2022-01-31,🇲🇳
pry,2,47,0.0425531914893617,54.659574468085104,2022-01-31,🇵🇾
srb,2,171,0.0116959064327485,58.58479532163743,2022-01-31,🇷🇸
svn,2,54,0.037037037037037,35.98148148148148,2022-01-31,🇸🇮
alb,1,69,0.0144927536231884,68.23188405797102,2022-01-31,🇦🇱
ben,1,5,0.2,34.6,2022-01-31,🇧🇯
dza,1,243,0.0041152263374485,57.00411522633745,2022-01-31,🇩🇿
est,1,46,0.0217391304347826,36.69565217391305,2022-01-31,🇪🇪
hun,1,124,0.0080645161290322,46.04838709677419,2022-01-31,🇭🇺
irq,1,107,0.0093457943925233,53.953271028037385,2022-01-31,🇮🇶
ken,1,90,0.0111111111111111,47.71111111111111,2022-01-31,🇰🇪
mne,1,12,0.0833333333333333,35.0,2022-01-31,🇲🇪
npl,1,138,0.0072463768115942,52.15217391304348,2022-01-31,🇳🇵
nzl,1,108,0.0092592592592592,38.97222222222222,2022-01-31,🇳🇿
svk,1,73,0.0136986301369863,35.465753424657535,2022-01-31,🇸🇰
yem,1,29,0.0344827586206896,50.06896551724138,2022-01-31,🇾🇪
abw,0,4,0.0,43.25,2022-01-31,🇦🇼
afg,0,12,0.0,44.0,2022-01-31,🇦🇫
ago,0,18,0.0,48.333333333333336,2022-01-31,🇦🇴
ala,0,1,0.0,11.0,2022-01-31,🇦🇽
and,0,3,0.0,30.666666666666668,2022-01-31,🇦🇩
atg,0,6,0.0,56.5,2022-01-31,🇦🇬
aze,0,59,0.0,58.96610169491525,2022-01-31,🇦🇿
bdi,0,2,0.0,62.5,2022-01-31,🇧🇮
bfa,0,4,0.0,63.0,2022-01-31,🇧🇫
bhr,0,43,0.0,50.34883720930232,2022-01-31,🇧🇭
bhs,0,21,0.0,60.333333333333336,2022-01-31,🇧🇸
bih,0,42,0.0,55.97619047619048,2022-01-31,🇧🇦
blz,0,4,0.0,53.5,2022-01-31,🇧🇿
bmu,0,2,0.0,56.5,2022-01-31,🇧🇲
bol,0,68,0.0,70.04411764705883,2022-01-31,🇧🇴
brb,0,36,0.0,54.11111111111112,2022-01-31,🇧🇧
brn,0,8,0.0,43.0,2022-01-31,🇧🇳
btn,0,4,0.0,58.75,2022-01-31,🇧🇹
bwa,0,6,0.0,47.16666666666666,2022-01-31,🇧🇼
civ,0,12,0.0,63.333333333333336,2022-01-31,🇨🇮
cmr,0,7,0.0,49.57142857142857,2022-01-31,🇨🇲
cod,0,9,0.0,53.22222222222222,2022-01-31,🇨🇩
cog,0,1,0.0,77.0,2022-01-31,🇨🇬
cpv,0,1,0.0,43.0,2022-01-31,🇨🇻
cri,0,43,0.0,54.627906976744185,2022-01-31,🇨🇷
cub,0,19,0.0,35.31578947368421,2022-01-31,🇨🇺
cuw,0,8,0.0,59.25,2022-01-31,🇨🇼
cym,0,3,0.0,42.0,2022-01-31,🇰🇾
cyp,0,45,0.0,32.2,2022-01-31,🇨🇾
dji,0,1,0.0,38.0,2022-01-31,🇩🇯
dom,0,121,0.0,59.13223140495868,2022-01-31,🇩🇴
eth,0,44,0.0,42.88636363636363,2022-01-31,🇪🇹
fji,0,6,0.0,53.16666666666666,2022-01-31,🇫🇯
fro,0,1,0.0,17.0,2022-01-31,🇫🇴
gab,0,6,0.0,78.83333333333333,2022-01-31,🇬🇦
geo,0,62,0.0,51.79032258064516,2022-01-31,🇬🇪
gha,0,43,0.0,58.65116279069768,2022-01-31,🇬🇭
gib,0,3,0.0,37.66666666666666,2022-01-31,🇬🇮
gin,0,1,0.0,90.0,2022-01-31,🇬🇳
glp,0,2,0.0,85.5,2022-01-31,🇬🇵
gmb,0,1,0.0,88.0,2022-01-31,🇬🇲
gnq,0,1,0.0,47.0,2022-01-31,🇬🇶
grd,0,4,0.0,48.75,2022-01-31,🇬🇩
gtm,0,45,0.0,40.06666666666667,2022-01-31,🇬🇹
guf,0,3,0.0,29.0,2022-01-31,🇬🇫
gum,0,2,0.0,62.0,2022-01-31,🇬🇺
guy,0,8,0.0,49.125,2022-01-31,🇬🇾
hnd,0,33,0.0,66.84848484848484,2022-01-31,🇭🇳
hti,0,16,0.0,88.125,2022-01-31,🇭🇹
imn,0,3,0.0,18.0,2022-01-31,🇮🇲
isl,0,13,0.0,15.923076923076923,2022-01-31,🇮🇸
jam,0,52,0.0,64.11538461538461,2022-01-31,🇯🇲
kgz,0,17,0.0,62.294117647058826,2022-01-31,🇰🇬
khm,0,122,0.0,61.467213114754095,2022-01-31,🇰🇭
kna,0,7,0.0,49.142857142857146,2022-01-31,🇰🇳
kwt,0,35,0.0,51.77142857142857,2022-01-31,🇰🇼
lao,0,36,0.0,73.38888888888889,2022-01-31,🇱🇦
lbn,0,60,0.0,56.35,2022-01-31,🇱🇧
lbr,0,1,0.0,11.0,2022-01-31,🇱🇷
lby,0,45,0.0,67.37777777777778,2022-01-31,🇱🇾
lca,0,2,0.0,43.0,2022-01-31,🇱🇨
ltu,0,87,0.0,53.52873563218391,2022-01-31,🇱🇹
lux,0,12,0.0,45.083333333333336,2022-01-31,🇱🇺
mac,0,10,0.0,26.0,2022-01-31,🇲🇴
mdg,0,8,0.0,82.0,2022-01-31,🇲🇬
mdv,0,9,0.0,54.333333333333336,2022-01-31,🇲🇻
mkd,0,38,0.0,58.21052631578947,2022-01-31,🇲🇰
mli,0,3,0.0,55.0,2022-01-31,🇲🇱
mlt,0,23,0.0,25.17391304347826,2022-01-31,🇲🇹
mmr,0,49,0.0,62.57142857142857,2022-01-31,🇲🇲
moz,0,8,0.0,59.125,2022-01-31,🇲🇿
mrt,0,7,0.0,73.14285714285714,2022-01-31,🇲🇷
msr,0,1,0.0,71.0,2022-01-31,🇲🇸
mtq,0,4,0.0,72.75,2022-01-31,🇲🇶
mus,0,7,0.0,64.14285714285714,2022-01-31,🇲🇺
mwi,0,1,0.0,54.0,2022-01-31,🇲🇼
nam,0,6,0.0,50.833333333333336,2022-01-31,🇳🇦
ncl,0,2,0.0,56.5,2022-01-31,🇳🇨
ner,0,3,0.0,44.333333333333336,2022-01-31,🇳🇪
nic,0,15,0.0,58.4,2022-01-31,🇳🇮
omn,0,13,0.0,43.23076923076923,2022-01-31,🇴🇲
pan,0,34,0.0,56.088235294117645,2022-01-31,🇵🇦
per,0,191,0.0,52.20942408376963,2022-01-31,🇵🇪
pri,0,26,0.0,57.88461538461539,2022-01-31,🇵🇷
pyf,0,3,0.0,109.33333333333331,2022-01-31,🇵🇫
qat,0,31,0.0,58.67741935483871,2022-01-31,🇶🇦
reu,0,5,0.0,54.4,2022-01-31,🇷🇪
rwa,0,11,0.0,46.18181818181818,2022-01-31,🇷🇼
sdn,0,28,0.0,52.285714285714285,2022-01-31,🇸🇩
sen,0,10,0.0,47.4,2022-01-31,🇸🇳
slb,0,1,0.0,29.0,2022-01-31,🇸🇧
slv,0,27,0.0,59.407407407407405,2022-01-31,🇸🇻
smr,0,1,0.0,17.0,2022-01-31,🇸🇲
som,0,3,0.0,58.66666666666666,2022-01-31,🇸🇴
sur,0,5,0.0,71.6,2022-01-31,🇸🇷
swz,0,1,0.0,7.0,2022-01-31,🇸🇿
sxm,0,1,0.0,87.0,2022-01-31,🇸🇽
syc,0,1,0.0,101.0,2022-01-31,🇸🇨
syr,0,25,0.0,42.76,2022-01-31,🇸🇾
tca,0,1,0.0,89.0,2022-01-31,🇹🇨
tcd,0,3,0.0,78.33333333333333,2022-01-31,🇹🇩
tgo,0,10,0.0,68.9,2022-01-31,🇹🇬
tjk,0,6,0.0,44.0,2022-01-31,🇹🇯
tkm,0,4,0.0,48.75,2022-01-31,🇹🇲
tls,0,2,0.0,30.5,2022-01-31,🇹🇱
