country,clicks,impressions,ctr,position,date
usa,185,11397,0.016232341844345004,38.12143546547337,2022-01-31
ind,157,6777,0.023166592887708424,33.00044267374945,2022-01-31
deu,69,1538,0.044863459037711315,20.850455136540962,2022-01-31
gbr,64,2414,0.026512013256006627,35.425849212924604,2022-01-31
fra,58,1260,0.046031746031746035,29.206349206349206,2022-01-31
esp,30,796,0.03768844221105527,34.017587939698494,2022-01-31
can,28,978,0.028629856850715747,39.171779141104295,2022-01-31
tur,26,851,0.03055229142185664,43.508813160987074,2022-01-31
ita,23,713,0.03225806451612903,31.931276297335202,2022-01-31
nld,23,639,0.03599374021909233,26.672926447574334,2022-01-31
idn,19,1960,0.009693877551020408,61.31887755102041,2022-01-31
pak,18,686,0.026239067055393587,48.45043731778426,2022-01-31
pol,18,667,0.026986506746626688,34.604197901049474,2022-01-31
rus,18,1690,0.010650887573964497,50.21775147928994,2022-01-31
grc,17,216,0.0787037037037037,23.421296296296298,2022-01-31
isr,15,321,0.04672897196261682,21.669781931464176,2022-01-31
ukr,14,579,0.024179620034542316,43.447322970639036,2022-01-31
mys,12,512,0.0234375,55.6015625,2022-01-31
aus,11,535,0.020560747663551402,35.87102803738318,2022-01-31
bra,11,2320,0.0047413793103448275,50.790086206896554,2022-01-31
aut,9,181,0.049723756906077346,28.176795580110497,2022-01-31
mex,9,658,0.013677811550151976,49.22188449848024,2022-01-31
phl,9,942,0.009554140127388535,53.31104033970276,2022-01-31
swe,9,295,0.030508474576271188,30.91864406779661,2022-01-31
vnm,9,1831,0.004915346805024577,66.60567995630802,2022-01-31
jpn,8,548,0.014598540145985401,38.67153284671533,2022-01-31
prt,8,180,0.044444444444444446,30.522222222222222,2022-01-31
sau,8,230,0.034782608695652174,39.21304347826087,2022-01-31
sgp,8,421,0.019002375296912115,26.44893111638955,2022-01-31
twn,8,550,0.014545454545454545,44.876363636363635,2022-01-31
arg,7,752,0.009308510638297872,55.336436170212764,2022-01-31
irl,7,118,0.059322033898305086,35.71186440677966,2022-01-31
zaf,7,225,0.03111111111111111,40.92888888888889,2022-01-31
bel,6,206,0.02912621359223301,23.694174757281555,2022-01-31
bgd,6,499,0.012024048096192385,51.016032064128254,2022-01-31
che,6,204,0.029411764705882353,29.916666666666668,2022-01-31
tha,6,989,0.006066734074823054,65.47724974721942,2022-01-31
chl,5,206,0.024271844660194174,43.14563106796116,2022-01-31
chn,5,150,0.03333333333333333,17.733333333333334,2022-01-31
cze,5,167,0.029940119760479042,37.31137724550898,2022-01-31
irn,5,424,0.01179245283018868,34.15094339622642,2022-01-31
kor,5,764,0.006544502617801047,45.59424083769633,2022-01-31
lva,5,58,0.08620689655172414,35.724137931034484,2022-01-31
mar,5,366,0.01366120218579235,51.576502732240435,2022-01-31
nor,5,145,0.034482758620689655,27.220689655172414,2022-01-31
arm,4,73,0.0547945205479452,44.73972602739726,2022-01-31
col,4,463,0.008639308855291577,52.645788336933045,2022-01-31
hkg,4,251,0.01593625498007968,28.641434262948206,2022-01-31
nga,4,121,0.03305785123966942,53.67768595041322,2022-01-31
rou,4,296,0.013513513513513514,38.50675675675676,2022-01-31
bgr,3,149,0.020134228187919462,42.95973154362416,2022-01-31
blr,3,155,0.01935483870967742,44.270967741935486,2022-01-31
dnk,3,151,0.019867549668874173,27.0,2022-01-31
fin,3,130,0.023076923076923078,23.984615384615385,2022-01-31
hrv,3,88,0.03409090909090909,29.03409090909091,2022-01-31
kaz,3,136,0.022058823529411766,53.330882352941174,2022-01-31
pse,3,101,0.0297029702970297,52.613861386138616,2022-01-31
tun,3,117,0.02564102564102564,51.837606837606835,2022-01-31
zzz,3,139,0.02158273381294964,44.381294964028775,2022-01-31
are,2,182,0.01098901098901099,49.06043956043956,2022-01-31
dma,2,15,0.13333333333333333,19.6,2022-01-31
ecu,2,285,0.007017543859649123,58.421052631578945,2022-01-31
egy,2,359,0.005571030640668524,53.551532033426184,2022-01-31
jor,2,122,0.01639344262295082,44.0,2022-01-31
lka,2,103,0.019417475728155338,53.83495145631068,2022-01-31
mda,2,40,0.05,52.925,2022-01-31
mng,2,36,0.05555555555555555,56.083333333333336,2022-01-31
pry,2,47,0.0425531914893617,54.659574468085104,2022-01-31
srb,2,171,0.011695906432748537,58.58479532163743,2022-01-31
svn,2,54,0.037037037037037035,35.98148148148148,2022-01-31
alb,1,69,0.014492753623188406,68.23188405797102,2022-01-31
ben,1,5,0.2,34.6,2022-01-31
dza,1,243,0.00411522633744856,57.00411522633745,2022-01-31
est,1,46,0.021739130434782608,36.69565217391305,2022-01-31
hun,1,124,0.008064516129032258,46.04838709677419,2022-01-31
irq,1,107,0.009345794392523364,53.953271028037385,2022-01-31
ken,1,90,0.011111111111111112,47.71111111111111,2022-01-31
mne,1,12,0.08333333333333333,35.0,2022-01-31
npl,1,138,0.007246376811594203,52.15217391304348,2022-01-31
nzl,1,108,0.009259259259259259,38.97222222222222,2022-01-31
svk,1,73,0.0136986301369863,35.465753424657535,2022-01-31
yem,1,29,0.034482758620689655,50.06896551724138,2022-01-31
abw,0,4,0.0,43.25,2022-01-31
afg,0,12,0.0,44.0,2022-01-31
ago,0,18,0.0,48.333333333333336,2022-01-31
ala,0,1,0.0,11.0,2022-01-31
and,0,3,0.0,30.666666666666668,2022-01-31
atg,0,6,0.0,56.5,2022-01-31
aze,0,59,0.0,58.96610169491525,2022-01-31
bdi,0,2,0.0,62.5,2022-01-31
bfa,0,4,0.0,63.0,2022-01-31
bhr,0,43,0.0,50.348837209302324,2022-01-31
bhs,0,21,0.0,60.333333333333336,2022-01-31
bih,0,42,0.0,55.976190476190474,2022-01-31
blz,0,4,0.0,53.5,2022-01-31
bmu,0,2,0.0,56.5,2022-01-31
bol,0,68,0.0,70.04411764705883,2022-01-31
brb,0,36,0.0,54.111111111111114,2022-01-31
brn,0,8,0.0,43.0,2022-01-31
btn,0,4,0.0,58.75,2022-01-31
bwa,0,6,0.0,47.166666666666664,2022-01-31
civ,0,12,0.0,63.333333333333336,2022-01-31
cmr,0,7,0.0,49.57142857142857,2022-01-31
cod,0,9,0.0,53.22222222222222,2022-01-31
cog,0,1,0.0,77.0,2022-01-31
cpv,0,1,0.0,43.0,2022-01-31
cri,0,43,0.0,54.627906976744185,2022-01-31
cub,0,19,0.0,35.31578947368421,2022-01-31
cuw,0,8,0.0,59.25,2022-01-31
cym,0,3,0.0,42.0,2022-01-31
cyp,0,45,0.0,32.2,2022-01-31
dji,0,1,0.0,38.0,2022-01-31
dom,0,121,0.0,59.13223140495868,2022-01-31
eth,0,44,0.0,42.88636363636363,2022-01-31
fji,0,6,0.0,53.166666666666664,2022-01-31
fro,0,1,0.0,17.0,2022-01-31
gab,0,6,0.0,78.83333333333333,2022-01-31
geo,0,62,0.0,51.79032258064516,2022-01-31
gha,0,43,0.0,58.651162790697676,2022-01-31
gib,0,3,0.0,37.666666666666664,2022-01-31
gin,0,1,0.0,90.0,2022-01-31
glp,0,2,0.0,85.5,2022-01-31
gmb,0,1,0.0,88.0,2022-01-31
gnq,0,1,0.0,47.0,2022-01-31
grd,0,4,0.0,48.75,2022-01-31
gtm,0,45,0.0,40.06666666666667,2022-01-31
guf,0,3,0.0,29.0,2022-01-31
gum,0,2,0.0,62.0,2022-01-31
guy,0,8,0.0,49.125,2022-01-31
hnd,0,33,0.0,66.84848484848484,2022-01-31
hti,0,16,0.0,88.125,2022-01-31
imn,0,3,0.0,18.0,2022-01-31
isl,0,13,0.0,15.923076923076923,2022-01-31
jam,0,52,0.0,64.11538461538461,2022-01-31
kgz,0,17,0.0,62.294117647058826,2022-01-31
khm,0,122,0.0,61.467213114754095,2022-01-31
kna,0,7,0.0,49.142857142857146,2022-01-31
kwt,0,35,0.0,51.77142857142857,2022-01-31
lao,0,36,0.0,73.38888888888889,2022-01-31
lbn,0,60,0.0,56.35,2022-01-31
lbr,0,1,0.0,11.0,2022-01-31
lby,0,45,0.0,67.37777777777778,2022-01-31
lca,0,2,0.0,43.0,2022-01-31
ltu,0,87,0.0,53.52873563218391,2022-01-31
lux,0,12,0.0,45.083333333333336,2022-01-31
mac,0,10,0.0,26.0,2022-01-31
mdg,0,8,0.0,82.0,2022-01-31
mdv,0,9,0.0,54.333333333333336,2022-01-31
mkd,0,38,0.0,58.21052631578947,2022-01-31
mli,0,3,0.0,55.0,2022-01-31
mlt,0,23,0.0,25.17391304347826,2022-01-31
mmr,0,49,0.0,62.57142857142857,2022-01-31
moz,0,8,0.0,59.125,2022-01-31
mrt,0,7,0.0,73.14285714285714,2022-01-31
msr,0,1,0.0,71.0,2022-01-31
mtq,0,4,0.0,72.75,2022-01-31
mus,0,7,0.0,64.14285714285714,2022-01-31
mwi,0,1,0.0,54.0,2022-01-31
nam,0,6,0.0,50.833333333333336,2022-01-31
ncl,0,2,0.0,56.5,2022-01-31
ner,0,3,0.0,44.333333333333336,2022-01-31
nic,0,15,0.0,58.4,2022-01-31
omn,0,13,0.0,43.23076923076923,2022-01-31
pan,0,34,0.0,56.088235294117645,2022-01-31
per,0,191,0.0,52.20942408376963,2022-01-31
pri,0,26,0.0,57.88461538461539,2022-01-31
pyf,0,3,0.0,109.33333333333333,2022-01-31
qat,0,31,0.0,58.67741935483871,2022-01-31
reu,0,5,0.0,54.4,2022-01-31
rwa,0,11,0.0,46.18181818181818,2022-01-31
sdn,0,28,0.0,52.285714285714285,2022-01-31
sen,0,10,0.0,47.4,2022-01-31
slb,0,1,0.0,29.0,2022-01-31
slv,0,27,0.0,59.407407407407405,2022-01-31
smr,0,1,0.0,17.0,2022-01-31
som,0,3,0.0,58.666666666666664,2022-01-31
sur,0,5,0.0,71.6,2022-01-31
swz,0,1,0.0,7.0,2022-01-31
sxm,0,1,0.0,87.0,2022-01-31
syc,0,1,0.0,101.0,2022-01-31
syr,0,25,0.0,42.76,2022-01-31
tca,0,1,0.0,89.0,2022-01-31
tcd,0,3,0.0,78.33333333333333,2022-01-31
tgo,0,10,0.0,68.9,2022-01-31
tjk,0,6,0.0,44.0,2022-01-31
