query,clicks,impressions,ctr,position,date
advertools,156,246,0.6341463414634146,1.016260162601626,2022-01-31
advertools python,27,43,0.627906976744186,1.0,2022-01-31
python advertools,19,24,0.7916666666666666,1.0,2022-01-31
python seo crawler,5,7,0.7142857142857143,1.0,2022-01-31
advertools github,4,26,0.15384615384615385,3.8461538461538463,2022-01-31
count emoji in text python,4,25,0.16,3.84,2022-01-31
emoji to text python,4,53,0.07547169811320754,5.452830188679245,2022-01-31
extract emoji from text python,3,43,0.06976744186046512,3.9069767441860463,2022-01-31
word frequency analysis python,3,68,0.04411764705882353,5.279411764705882,2022-01-31
ngram tokenizer python,2,23,0.08695652173913043,4.217391304347826,2022-01-31
python sitemap crawler,2,31,0.06451612903225806,7.67741935483871,2022-01-31
python tokenize words,2,34,0.058823529411764705,7.088235294117647,2022-01-31
text frequency analysis python,2,24,0.08333333333333333,3.75,2022-01-31
tokenize words python,2,86,0.023255813953488372,7.0,2022-01-31
word frequency analysis,2,592,0.0033783783783783786,10.472972972972974,2022-01-31
analyze sitemap,1,6,0.16666666666666666,10.833333333333334,2022-01-31
download sitemap,1,62,0.016129032258064516,15.209677419354838,2022-01-31
emoji analysis python,1,5,0.2,4.8,2022-01-31
extracting names from text python,1,1,1.0,12.0,2022-01-31
google knowledge graph api,1,134,0.007462686567164179,33.69402985074627,2022-01-31
how to split url in python,1,21,0.047619047619047616,7.476190476190476,2022-01-31
how to tokenize a list of strings in python,1,23,0.043478260869565216,8.869565217391305,2022-01-31
python extract emojis from text,1,7,0.14285714285714285,3.142857142857143,2022-01-31
python for seo,1,177,0.005649717514124294,24.34463276836158,2022-01-31
python regex emoji,1,25,0.04,7.48,2022-01-31
python seo keywords,1,1,1.0,29.0,2022-01-31
python split url into parts,1,9,0.1111111111111111,9.222222222222221,2022-01-31
server log analysis with pandas,1,1,1.0,35.0,2022-01-31
spacy german stopwords,1,4,0.25,7.25,2022-01-31
spacy stopwords,1,27,0.037037037037037035,15.11111111111111,2022-01-31
spacy stopwords spanish,1,22,0.045454545454545456,6.090909090909091,2022-01-31
spanish stop words,1,11,0.09090909090909091,12.454545454545455,2022-01-31
spanish stopwords,1,13,0.07692307692307693,10.538461538461538,2022-01-31
text analysis in python,1,9,0.1111111111111111,57.888888888888886,2022-01-31
tokenization in python without nltk,1,5,0.2,18.2,2022-01-31
xml sitemap reader,1,4,0.25,18.0,2022-01-31
youtube api pagetoken,1,9,0.1111111111111111,12.11111111111111,2022-01-31
youtube api python,1,217,0.004608294930875576,14.774193548387096,2022-01-31
(1/1) emoji,0,1,0.0,39.0,2022-01-31
+91@gmail.com txt 2020,0,2,0.0,36.0,2022-01-31
+91@gmail.com txt 2021,0,1,0.0,85.0,2022-01-31
+part +time +jobs,0,62,0.0,24.64516129032258,2022-01-31
+seo +services,0,9,0.0,29.88888888888889,2022-01-31
+used +bmw,0,1,0.0,89.0,2022-01-31
/n python,0,2,0.0,49.0,2022-01-31
/sitemap.xml,0,2,0.0,84.0,2022-01-31
0///0 emoticon meaning,0,1,0.0,72.0,2022-01-31
1 1 emoji,0,5,0.0,66.2,2022-01-31
1 2 3 emoji,0,1,0.0,45.0,2022-01-31
1 number emoji,0,1,0.0,98.0,2022-01-31
a filetype operator restricts search engine results to a specific file type.,0,12,0.0,65.66666666666667,2022-01-31
a function which returns a list of all entities,0,24,0.0,8.125,2022-01-31
about emoji,0,1,0.0,101.0,2022-01-31
absolute words list,0,3,0.0,76.33333333333333,2022-01-31
ad analyzer,0,1,0.0,94.0,2022-01-31
ad copy analysis tools,0,2,0.0,96.5,2022-01-31
ad crawler errors,0,1,0.0,84.0,2022-01-31
ads txt checker,0,1,0.0,79.0,2022-01-31
ads txt crawler,0,1,0.0,94.0,2022-01-31
ads txt validator,0,1,0.0,88.0,2022-01-31
ads.txt checker,0,2,0.0,93.0,2022-01-31
adver online,0,1,0.0,66.0,2022-01-31
all emoji names,0,2,0.0,98.0,2022-01-31
allow robots.txt,0,3,0.0,87.0,2022-01-31
amazon robot.txt,0,4,0.0,10.25,2022-01-31
amazon robots.txt,0,47,0.0,10.48936170212766,2022-01-31
amazon/robots.txt,0,12,0.0,9.916666666666666,2022-01-31
analyse concurrent sem,0,1,0.0,84.0,2022-01-31
analyse emoji,0,1,0.0,34.0,2022-01-31
analyse log files,0,3,0.0,82.66666666666667,2022-01-31
analyse sitemap,0,5,0.0,12.2,2022-01-31
analyse url,0,5,0.0,70.2,2022-01-31
analyse url sem,0,6,0.0,45.833333333333336,2022-01-31
analyst emoji,0,1,0.0,92.0,2022-01-31
analytics emoji,0,8,0.0,72.75,2022-01-31
analyze emoji,0,8,0.0,13.125,2022-01-31
analyze link,0,59,0.0,156.25423728813558,2022-01-31
analyze log file,0,5,0.0,85.2,2022-01-31
analyze log files,0,8,0.0,87.25,2022-01-31
analyze logs,0,6,0.0,99.5,2022-01-31
analyze robots.txt,0,5,0.0,12.2,2022-01-31
analyze serp,0,56,0.0,87.625,2022-01-31
analyze text to extract entity,0,62,0.0,70.90322580645162,2022-01-31
analyze url,0,12,0.0,39.583333333333336,2022-01-31
analyze word,0,1,0.0,93.0,2022-01-31
analyze words,0,2,0.0,87.5,2022-01-31
analyze xml,0,7,0.0,64.42857142857143,2022-01-31
analyzing emoji,0,4,0.0,46.75,2022-01-31
animal emoji names,0,2,0.0,52.5,2022-01-31
api search twitter,0,23,0.0,75.69565217391305,2022-01-31
api serp analysis,0,98,0.0,92.64285714285714,2022-01-31
api serps,0,4,0.0,93.75,2022-01-31
api shorts youtube,0,1,0.0,25.0,2022-01-31
api twitter search,0,2,0.0,63.5,2022-01-31
api youtube python,0,8,0.0,22.75,2022-01-31
applebot user agent,0,2,0.0,50.5,2022-01-31
arabic stop words list,0,3,0.0,46.666666666666664,2022-01-31
arabic stop words python,0,9,0.0,10.333333333333334,2022-01-31
arabic stopwords,0,1,0.0,32.0,2022-01-31
big blue emoji,0,3,0.0,73.33333333333333,2022-01-31
bing knowledge graph api,0,18,0.0,27.833333333333332,2022-01-31
bing robots.txt tester,0,1,0.0,81.0,2022-01-31
bingbot robots.txt,0,22,0.0,89.54545454545455,2022-01-31
block all robots txt,0,1,0.0,74.0,2022-01-31
block urls with robots.txt,0,2,0.0,94.0,2022-01-31
blue book emoji,0,15,0.0,69.66666666666667,2022-01-31
blue fruit emoji,0,1,0.0,36.0,2022-01-31
blue snowball sem text ads,0,6,0.0,10.333333333333334,2022-01-31
blue square unicode,0,1,0.0,42.0,2022-01-31
break sentence into words python,0,1,0.0,45.0,2022-01-31
build knowledge graph python,0,2,0.0,74.0,2022-01-31
campaign ad group keyword criterion type,0,13,0.0,30.615384615384617,2022-01-31
can hashtags have question marks,0,2,0.0,95.5,2022-01-31
can you filter out retweets,0,1,0.0,83.0,2022-01-31
can you use emojis in python,0,2,0.0,30.5,2022-01-31
capitalize in google docs,0,1,0.0,90.0,2022-01-31
cat emoji text,0,3,0.0,83.33333333333333,2022-01-31
categoryid youtube api,0,1,0.0,12.0,2022-01-31
character tokenizer python,0,2,0.0,43.0,2022-01-31
check for robots.txt,0,3,0.0,62.0,2022-01-31
check if googlebot can access site,0,2,0.0,99.5,2022-01-31
check if url is blocked by robots.txt,0,2,0.0,72.0,2022-01-31
check robot txt,0,9,0.0,59.888888888888886,2022-01-31
check robot.txt,0,4,0.0,52.25,2022-01-31
check robots,0,6,0.0,60.166666666666664,2022-01-31
check robots file,0,2,0.0,33.5,2022-01-31
check robots txt,0,123,0.0,49.38211382113821,2022-01-31
check robots txt file,0,130,0.0,50.42307692307692,2022-01-31
check robots.txt,0,572,0.0,45.94230769230769,2022-01-31
check robots.txt file,0,2,0.0,59.0,2022-01-31
check robots.txt for a website,0,3,0.0,80.66666666666667,2022-01-31
check robots.txt of a website,0,4,0.0,63.75,2022-01-31
check robots.txt on website,0,4,0.0,68.5,2022-01-31
check site robots.txt,0,2,0.0,53.0,2022-01-31
check website robots.txt,0,4,0.0,56.25,2022-01-31
check xml sitemap,0,3,0.0,97.0,2022-01-31
check your robots txt,0,1,0.0,90.0,2022-01-31
chinese stop words,0,1,0.0,46.0,2022-01-31
chinese stopwords,0,3,0.0,21.666666666666668,2022-01-31
clawer list,0,1,0.0,96.0,2022-01-31
concurrent seo,0,41,0.0,77.09756097560975,2022-01-31
content analysis in python,0,1,0.0,81.0,2022-01-31
content analysis python,0,2,0.0,80.5,2022-01-31
content scraping seo,0,9,0.0,92.0,2022-01-31
convert emoji to text,0,2,0.0,93.0,2022-01-31
convert emoji to text python,0,54,0.0,9.12962962962963,2022-01-31
convert emoji to unicode python,0,1,0.0,26.0,2022-01-31
convert emoticons to text python,0,19,0.0,10.473684210526315,2022-01-31
convert log file to dataframe python,0,12,0.0,8.833333333333332,2022-01-31
count emoji,0,3,0.0,59.0,2022-01-31
count frequency in list python,0,1,0.0,52.0,2022-01-31
count frequency of words in list python,0,1,0.0,41.0,2022-01-31
count frequency of words in python,0,3,0.0,27.0,2022-01-31
count number of words in pandas column,0,1,0.0,60.0,2022-01-31
count number of words in python,0,1,0.0,90.0,2022-01-31
count the frequency of words in python,0,2,0.0,31.0,2022-01-31
count word frequency,0,4,0.0,45.0,2022-01-31
count word frequency in string python,0,2,0.0,82.0,2022-01-31
count word frequency in text file python,0,2,0.0,41.0,2022-01-31
count word frequency python,0,13,0.0,15.615384615384615,2022-01-31
count word in list python,0,2,0.0,52.5,2022-01-31
count words in a list python,0,2,0.0,61.0,2022-01-31
count words in list python,0,1,0.0,53.0,2022-01-31
count words in pandas column,0,2,0.0,49.0,2022-01-31
count words in python,0,2,0.0,77.5,2022-01-31
count words in string python,0,1,0.0,100.0,2022-01-31
count words in text python,0,1,0.0,44.0,2022-01-31
count words python,0,14,0.0,86.5,2022-01-31
counting a word occurrences in dataframe pandas,0,2,0.0,43.0,2022-01-31
counting emoji,0,5,0.0,85.2,2022-01-31
