query,device,impressions
larry bird stats,Mobile,215
stephen curry stats,Desktop,209
michael jordan stats,Desktop,197
larry bird stats,Desktop,174
kobe bryant stats,Desktop,129
kobe bryant stats,Mobile,101
stephen curry stats,Mobile,101
michael jordan stats,Mobile,84
nikola jokic stats,Desktop,74
curry stats,Desktop,64
kareem abdul jabbar stats,Desktop,63
hakeem olajuwon stats,Desktop,58
steph curry stats,Desktop,53
michael jordan career stats,Desktop,41
jordan stats,Desktop,37
kareem abdul-jabbar stats,Desktop,36
nikola jokic stats,Mobile,32
kareem abdul jabbar stats,Mobile,28
hakeem olajuwon stats,Mobile,28
kobe stats,Mobile,26
nikola jokić stats,Desktop,25
kobe stats,Desktop,25
larry bird career stats,Desktop,23
kareem career stats,Desktop,22
stats kobe bryant,Desktop,22
robert parish stats,Mobile,21
nikola jokić stats,Mobile,21
michael jordan career stats,Mobile,21
steph curry stats,Mobile,21
stats of kobe bryant,Desktop,19
dominique wilkins stats,Desktop,18
jordan stats,Mobile,18
kareem abdul-jabbar stats,Mobile,18
rick fox stats,Mobile,17
curry stats,Mobile,17
jokic stats,Desktop,15
jordan career stats,Desktop,15
robert parish stats,Desktop,14
kobe bryant career stats,Desktop,14
rick fox stats,Desktop,14
stats michael jordan,Desktop,13
bird stats,Desktop,13
sam hauser stats,Desktop,13
mj career stats,Desktop,12
dominique wilkins stats,Mobile,11
michael jordan basketball stats,Desktop,11
mj stats,Desktop,11
kareem abdul jabbar career stats,Desktop,10
kevin huerter stats,Desktop,10
kareem stats,Desktop,10
stats on kobe bryant,Desktop,9
stephen curry career stats,Desktop,9
michael jordan nba stats,Desktop,9
micheal jordan stats,Desktop,9
jokic stats,Mobile,8
larry bird career averages,Desktop,8
jordan goodwin stats,Desktop,8
sam hauser stats,Mobile,7
stephen curry stats nba,Desktop,7
stats for michael jordan,Desktop,7
statistiques de nikola jokić,Desktop,7
kobe bryant statistics,Desktop,7
kobe career stats,Desktop,7
rick fox nba stats,Desktop,7
larry bird rookie stats,Desktop,7
hakeem stats,Desktop,7
larry bird career stats,Mobile,7
jake layman stats,Desktop,6
kevin huerter stats,Mobile,6
steve nash stats,Mobile,6
michael jordan statistics,Desktop,6
kobe bryant stats career,Desktop,6
steven adams stats,Desktop,6
michael jordan all time stats,Desktop,6
curry nba stats,Desktop,6
statistiques de larry bird,Mobile,6
michael jordan's stats,Desktop,6
deni avdija stats,Desktop,6
kobe bryant all time stats,Desktop,5
kobe bryant career points,Desktop,5
larry birds stats,Desktop,5
kobe bryant career stats,Mobile,5
stats of michael jordan,Desktop,5
devon hall,Desktop,5
lamar odom stats,Mobile,5
darius garland stats,Desktop,5
larry bird free throw percentage,Desktop,5
deanthony melton stats,Desktop,5
dominique wilkins career stats,Desktop,5
naji marshall stats,Desktop,5
steve francis stats,Desktop,5
bird career stats,Desktop,5
leaky black stats,Desktop,5
hakeem olajuwon career stats,Desktop,4
spencer dinwiddie stats,Desktop,4
melton stats,Desktop,4
chuck cooper stats,Desktop,4
larry bird's career stats,Desktop,4
von wafer stats,Desktop,4
kobe bryant nba stats,Desktop,4
michael jordan career points,Desktop,4
jeff turner stats,Desktop,4
steph curry career stats,Mobile,4
jeremy sochan stats,Desktop,4
career stats larry bird,Desktop,4
steph curry career stats,Desktop,4
kareem stats,Mobile,4
micheal jordan stats,Mobile,4
kareem career stats,Mobile,4
statistiken für nikola jokić,Desktop,4
steven adams stats,Mobile,4
michael jordan points,Desktop,4
tony farmer basketball,Desktop,4
robert parish height,Desktop,4
anfernee simons stats,Desktop,4
larry bird career points,Desktop,4
nikola.jokic stats,Desktop,4
dominique wilkins,Mobile,4
stephen curry stat,Desktop,4
stephen curry nba stats,Desktop,4
de'anthony melton stats,Desktop,4
howard carter basketball,Desktop,4
olajuwon stats,Desktop,4
larry bird statistics,Desktop,4
lebron james stats,Desktop,4
larry bird stats career,Mobile,4
jake layman stats,Mobile,4
luol deng career stats,Desktop,4
abdul jabbar stats,Desktop,3
stats for stephen curry,Desktop,3
michael.jordan stats,Desktop,3
larry bird stats career,Desktop,3
stats michael jordan,Mobile,3
larry bird statistics,Mobile,3
jordan nba stats,Desktop,3
michael jordan overall stats,Desktop,3
kareem abdul-jabbar career stats,Desktop,3
statistiken für michael jordan,Desktop,3
robert parish,Mobile,3
kobe bryant basketball stats,Desktop,3
mj stats,Mobile,3
avdija stats,Desktop,3
wilt chamberlain stats,Desktop,3
luol deng stats,Desktop,3
larry bird nba stats,Desktop,3
larry bird field goal percentage,Desktop,3
shai gilgeous alexander career stats,Desktop,3
nba stats michael jordan,Desktop,3
michael jordan stats career,Desktop,3
larry bird all time stats,Desktop,3
kobe bryant stat,Desktop,3
michael jordan total points,Desktop,3
s curry stats,Desktop,3
kobe bryant stats by year,Desktop,3
jordan michael stats,Desktop,3
terry furlow,Desktop,3
jeff teague stats,Desktop,3
jeremy lamb stats,Desktop,3
jabbar stats,Desktop,3
devon hall stats,Desktop,3
huerter stats,Desktop,3
howard carter basketball,Mobile,3
howard carter (basketball),Mobile,3
steph stats,Desktop,3
hauser stats,Desktop,3
jamal crawford stats,Desktop,3
jeff turner stats,Mobile,3
